Rank	Word	Count	Frequency
603	Some	35	0.000161
604	bulwarks	35	0.000161
605	legs	35	0.000161
606	Well	35	0.000161
607	suppose	35	0.000161
608	human	35	0.000161
609	ready	35	0.000161
610	flukes	35	0.000161
611	hat	35	0.000161
612	gold	35	0.000161
613	turns	35	0.000161
614	ground	35	0.000161
615	oars	35	0.000161
616	Pacific	34	0.000157
617	coast	34	0.000157
618	nearly	34	0.000157
619	American	34	0.000157
620	shot	34	0.000157
621	forecastle	34	0.000157
622	easy	34	0.000157
623	Cape	34	0.000157
624	middle	34	0.000157
625	sign	34	0.000157
626	forehead	34	0.000157
627	thoughts	34	0.000157
628	heavy	34	0.000157
629	arms	34	0.000157
630	there’s	34	0.000157
631	brain	33	0.000152
632	strong	33	0.000152
633	fifty	33	0.000152
634	killed	33	0.000152
635	creatures	33	0.000152
636	nature	33	0.000152
637	ashore	33	0.000152
638	account	33	0.000152
639	pipe	33	0.000152
640	free	33	0.000152
641	ago	33	0.000152
642	mast-head	33	0.000152
643	coffin	33	0.000152
644	Look	33	0.000152
645	idea	33	0.000152
646	Such	33	0.000152
647	company	33	0.000152
648	mad	33	0.000152
649	completely	33	0.000152
650	top	33	0.000152
651	remained	33	0.000152
652	sailing	33	0.000152
653	carpenter	33	0.000152
654	“And	32	0.000148
655	bulk	32	0.000148
656	doubt	32	0.000148
657	fear	32	0.000148
658	heaven	32	0.000148
659	passage	32	0.000148
660	rigging	32	0.000148
661	Yes	32	0.000148
662	boy	32	0.000148
663	boys	32	0.000148
664	red	32	0.000148
665	house	32	0.000148
666	low	32	0.000148
667	want	32	0.000148
668	wonder	32	0.000148
669	hammock	32	0.000148
670	skin	32	0.000148
671	none	32	0.000148
672	show	32	0.000148
673	proper	32	0.000148
674	Aye	32	0.000148
675	skeleton	32	0.000148
676	Daggoo	32	0.000148
677	pull	32	0.000148
678	SAILOR	32	0.000148
679	Steelkilt	32	0.000148
680	terms	31	0.000143
681	rolling	31	0.000143
682	received	31	0.000143
683	“What	31	0.000143
684	species	31	0.000143
685	Why	31	0.000143
686	bear	31	0.000143
687	jet	31	0.000143
688	holding	31	0.000143
689	lines	31	0.000143
690	visible	31	0.000143
691	planks	31	0.000143
692	table	31	0.000143
693	weather	31	0.000143
694	fair	31	0.000143
695	drawing	31	0.000143
696	hardly	31	0.000143
697	across	31	0.000143
698	nose	31	0.000143
699	intervals	31	0.000143
700	natural	31	0.000143
701	Whales	30	0.000138
702	generally	30	0.000138
703	miles	30	0.000138
704	possible	30	0.000138
705	mast-heads	30	0.000138
706	unless	30	0.000138
707	Besides	30	0.000138
708	really	30	0.000138
709	darkness	30	0.000138
710	soft	30	0.000138
711	won’t	30	0.000138
712	truth	30	0.000138
713	sky	30	0.000138
714	substance	30	0.000138
715	carried	30	0.000138
716	cast	30	0.000138
717	aft	30	0.000138
718	instances	30	0.000138
719	de	30	0.000138
720	altogether	29	0.000134
721	swimming	29	0.000134
722	huge	29	0.000134
723	jaws	29	0.000134
724	steel	29	0.000134
